model,stim,cat,prior,n_tokens,mem_greedy_acc,mem_mean_logp,fidelity,corrected,greedy_is_canonical,p_error,p_canonical,canonical_token,error_token
gpt2-medium,alphabet,sequence,very_high,24,0.9375,-0.8663,0.9998,0,0,0.98281,0.00024, g, z
gpt2-medium,gettysburg,speech,high,17,0.1667,-3.4828,0.9844,0,0,0.8523,0.01355, seven, eight
gpt2-medium,firstlines,prose,medium,14,0.8,-0.552,0.9998,0,0,0.93625,0.00023, worst, strang
gpt2-medium,rand_digits,control_digits,none,14,0.1,-6.2797,0.9943,0,0,0.91105,0.00524,57,59
gpt2-medium,nonsense,control_prose,none,12,0.25,-6.5845,1.0,0,0,0.93396,4e-05, brass, glass
gpt2-medium,nonsense2,control_prose,none,13,0.1111,-5.4599,0.9999,0,0,0.90604,5e-05, tin, oak
gpt2-large,pi,digits,very_high,16,0.8182,-1.5396,0.9823,0,0,0.86522,0.01562,793,293
gpt2-large,e,digits,high,16,0.7273,-1.8238,0.9978,0,0,0.97159,0.0021,18,19
gpt2-large,fib,sequence,high,26,0.8824,-0.2963,0.9931,0,0,0.96489,0.00672, 21, 22
gpt2-large,sonnet18,poetry,very_high,20,0.3846,-2.781,0.6216,0,0,0.41436,0.25229, summer, winter
gpt2-large,sonnet18b,poetry,very_high,20,0.3846,-2.781,1.0,0,0,0.99272,0.0, temper, delicate
gpt2-large,hamlet,drama,very_high,13,0.8889,-0.5859,0.8835,0,0,0.82525,0.10884, question, answer
gpt2-large,genesis,scripture,very_high,11,0.75,-0.8902,0.8595,0,0,0.79314,0.12967, heaven, heavens
gpt2-large,twinkle,rhyme,very_high,16,0.6364,-2.0358,0.995,0,0,0.96384,0.00484, star, moon
gpt2-large,lords,prayer,high,13,1.0,-0.2461,0.009,1,1,0.00699,0.77138, name, fame
gpt2-large,alphabet,sequence,very_high,24,0.9375,-1.0295,0.9886,0,0,0.92912,0.01067, g, z
gpt2-large,gettysburg,speech,high,17,0.5833,-1.5729,0.9992,0,0,0.99354,0.00084, seven, eight
gpt2-large,firstlines,prose,medium,14,1.0,-0.3901,0.1855,1,1,0.14579,0.64015, worst, strang
gpt2-large,rand_digits,control_digits,none,14,0.1,-5.7601,0.9944,0,0,0.88669,0.00499,57,59
gpt2-large,nonsense,control_prose,none,12,0.25,-6.0361,0.9998,0,0,0.84256,0.00019, brass, glass
gpt2-large,nonsense2,control_prose,none,13,0.2222,-4.9141,0.9999,0,0,0.7483,6e-05, tin, oak
